,Q,A
17,"Mr. Speaker, Canada has just won another environmental booby prize. Canada was the last country to report its greenhouse gas emissions data to the UN. Canada's delay in complying with its Kyoto protocol obligations is another Conservative failure in terms of the environment. Even Japan, despite the terrible tsunami, met the deadline. \lineBreak Why did the government not report its data on time?","Mr. Speaker, let me first congratulate my colleague on her appointment to the environment file.  \lineBreak In rising for the first time in this House, I would like to thank the voters of  \lineBreak The Government of Canada has always fully and fastidiously complied with the reporting requirements of the Kyoto treaty. There was a 15-day grace period allowed at the end of the deadline, which occurred during the election, and we have filed those details."
18,"Mr. Speaker, it turns out that not only were we late reporting our data this year, but the government also decided to quietly remove data on tar sands emissions. It is no wonder, because the data showed a 20% increase in tar sands emissions in 2009 alone. That is more than every single car in Canada. \lineBreak Will the ","Mr. Speaker, I would first offer a correction to my hon. colleague. We refer to the wealth of abundance in northern Alberta as “oil sands”. \lineBreak With regard to the question, in our reporting of the 2008 emissions the department attempted to offer sectoral numbers. It did not work and they were not included."
19,"Mr. Speaker, climate change was not mentioned even once in the throne speech. Now the Conference Board gives Canada a failing grade for climate policies. These plans are so disorganized and inefficient that Canada will not meet its 2020 target. \lineBreak  After five years of ignoring climate change, will the Conservatives commit to a national plan that addresses the very real challenges?","Mr. Speaker, I again congratulate my hon. colleague on her appointment to the environment file.  \lineBreak We do have a plan and that plan is working. We have committed to reduce greenhouse gas emissions sector by sector and that plan is working. \lineBreak With regard to the Speech from the Throne, I think my colleague was somewhat literal in her expectations. We reiterated our commitment to reduce climate change emissions across the board."
20,"Mr. Speaker, Environment Canada released its 2011 climate change plan to the United Nations. The plan shows that actions taken by the Conservative government are projected to reduce emissions by only one-quarter of what is needed to meet the 2020 target. \lineBreak Does the government have a plan to address the other three-quarters beyond deliberately fudging a progress report to the UN?","The short answer to that question, Mr. Speaker, is yes. We have a plan and I would advise my colleague to familiarize herself with it. She and all Canadians can visit the Environment Canada website to see how we began last year with the major emitting sector, transportation. We are about to address new regulations for coal-fired electricity generation. We will continue to work our way around the emitting sectors to meet our 2020 target."
21,"Mr. Speaker, the federal government's gradual withdrawal from social housing and the fight against homelessness is at risk of causing a dramatic increase in rental costs for hundreds of thousands of low-income renters. Many others will be left out on the streets.  \lineBreak Stakeholders at all levels are demanding that the federal government also do its part, be it through the homelessness partnering strategy or HPS or other housing programs. Will the government remedy this situation?","Mr. Speaker, I would like to welcome the new member and wish her luck. \lineBreak I also take this opportunity to thank the good folks of Haldimand—Norfolk for once again placing their trust in me. I pledge to honour that trust to the best of my ability. \lineBreak During our economic action plan, we made tremendous investments in social and affordable housing. Some 26,000 projects are under way right across the country. Unfortunately, the hon. member's party did not support those initiatives that are helping so many people who are vulnerable."
22,"Mr. Speaker, they are fine words, but they are just not good enough.  \lineBreak Instead of working to fix the problem, Conservatives actually cut housing programs. Last year, thousands of Ontario families could not afford decent roofs over their heads, and almost 70,000 of those families live in Toronto. Make no mistake that this is a national crisis and seniors bear the biggest burden. \lineBreak When will the government open its eyes and address this issue? We need a national housing strategy.","Mr. Speaker, we believe that having roofs over their heads is one of the hallmarks to help people get out of poverty, get into the workforce and lead self-sustaining lives. It is good for them and it is good for the country. That is why we have invested record amounts of money in affordable and social housing. Through our economic action plan, we supported the renovation and construction of some 26,000 units right across the country. Had it been up to the NDP, 26,000 families would not have received our help this way."
23,"Mr. Speaker, our government is committed to protecting and strengthening the long-term financial security of hard-working Canadians. Free trade creates jobs and economic opportunities and that is why we have made it a priority to open new markets for Canadian businesses. \lineBreak Could the ","Mr. Speaker, I congratulate my colleague on being re-elected for a third time by the good residents of  \lineBreak Closing the doors to the world is not an option for us. Canadians know this is a kitchen table issue and how important free trade is to our country."
24,"Mr. Speaker, Fabien Melanson, a 15-year Canadian veteran who served twice overseas, has started a hunger strike in front of the Department of Veterans Affairs in my riding of  \lineBreak Mr. Melanson has tried to have government take ownership of the trouble created when a clerical error caused a lapse in his benefits. \lineBreak My question is for the ","Mr. Speaker, I congratulate the member on his recent appointment. \lineBreak As the member is aware, under the Privacy Act, I cannot discuss the specific details of this individual case. However, I was given a mandate by the people of  \lineBreak What took place many years ago was unfortunate and was an unacceptable mistake. Corrective measures were taken. I have instructed my officials to follow up on this veteran's case—"
25,"Mr. Speaker, last Thursday, the justice department sent a threatening letter to USW Local 1005, ordering the steelworkers to cease their information pickets on the Burlington lift bridge. However, these workers are simply doing what the federal government is refusing to do. They are trying to stop U.S. Steel from taking profits from its Hamilton operations until the federal government's court case against the company is resolved. \lineBreak Instead of getting tough on Canadian workers, when will the government get tough on foreign companies that break Canadian laws, undermine Canadian jobs and attack Canadian pensions?","Mr. Speaker, I congratulate the member opposite on her recent election in the same area that I come from, and I thank the residents of  \lineBreak As the member opposite knows, this matter is one of provincial regulation. However, we are monitoring the situation, as we would, and I speak to the Minister of Labour in Ontario on the matter almost on a monthly basis to ensure that we can keep track of what is going on there."
26,"Mr. Speaker, last week, the Governor General highlighted our government was here for all Canadians. \lineBreak My question is for the new ","Mr. Speaker, economic growth and jobs will remain priorities for this government because they are the priorities of Canadians. We have designated 2011 as the Year of the Entrepreneur in order to help Canadians understand the role of entrepreneurs, who create our country's wealth. We need to reduce the red tape imposed on them, and we need to do so as quickly as possible. And that is what we will be doing with the Red Tape Reduction Commission."
27,"Mr. Speaker, Diamond Aircraft had a solid order for 240 jets worth $400 million, private sector funding and a loan guarantee from the Ontario government. All that was needed to secure hundreds of jobs and a place for Canada in the modern aerospace industry was a commitment from the federal government. That commitment was denied. It was a major blow to job creation and to the London families that depended on those jobs. \lineBreak Could the minister explain to the people of London why Diamond Aircraft was refused funding?","Mr. Speaker, I, too, would like to congratulate the member for her re-election and thank the people of  \lineBreak The Government of Canada has already invested some $20 million into this company, through the strategic aerospace and defence initiative. However, as stewards of taxpayer dollars, it would not be judicious to increase that amount by another $35 million. \lineBreak After a thorough review of Diamond's request, the company was advised by this government that we could not support the request. The company has other alternatives that it is exploring. We wish it well."
28,"Mr. Speaker, the  \lineBreak The 3,000 victims of the flooding in the Montérégie region are no less deserving than the victims in Manitoba and Alberta. Yet the ","Mr. Speaker, the Canadian Forces will remain in these regions during the emergency period to provide assistance to the civilian authorities, until their specific skills are no longer needed. \lineBreak The member would know that the regional minister for Quebec attended the flood-ravaged area, as did the  \lineBreak  Our thoughts are certainly with the people of the region. We will continue to work with them as members of the Canadian Forces continue to go about their important work there."
29,"Mr. Speaker, while we are tossing these kind words around, the people in the Montérégie region have been up to their necks in water for the past 50 days. While we are tossing these kind words around, the  \lineBreak Why does the  \lineBreak In 1998, Jean Chrétien called Lucien Bouchard to see what was needed. People want help from the army. What has happened to them is not their fault. Instead of being attacked, they want people to come help them clean up. What are they waiting for?","Mr. Speaker, along with the hon. member and all Canadians, we are very sympathetic to the plight of those affected by the floods not only in Quebec but in Manitoba, as well those who are suffering in Saskatchewan. \lineBreak As members know, the "
30,"Mr. Speaker, people in Montérégie are struggling with the worst flooding that this region has ever seen. After 50 days, when the  \lineBreak Why does this double standard exist for the people of Montérégie?","Mr. Speaker, our government understands the difficulties and the stress that the disaster victims are experiencing in the Montérégie region. That is why we have expedited processing of their employment insurance claims. Once I learned about the situation, I made a request to the department. Information is now available on our website. "
31,"Mr. Speaker, back home, the entire Montérégie region is flooded. The people are exhausted. The government thought it was more important to expedite employment insurance to disaster victims in Manitoba and Alberta, and victims in Quebec have been ignored until now. \lineBreak Can the ","Mr. Speaker, natural disaster victims across Canada must receive the same support from their government, regardless of where they live. That is why, as soon as I learned about this situation, I asked the department to ensure that the victims of flooding in the Montérégie region immediately receive the same priority processing for employment insurance claims as victims in the rest of Canada. That priority processing is available immediately, and information is available on our website."
32,"Mr. Speaker, it has cost Canada some $300 million to close Camp Mirage in the UAE. We now learn that the  \lineBreak Will the minister tell Canadian taxpayers how much this reopening will cost in addition to the already $300 million sunk because of a turf war between the ","Mr. Speaker, I want to take this opportunity to congratulate the new defence critic for the Liberal Party and assure him that relations between the  \lineBreak I can also tell the member that his figures are completely wrong. Those numbers are completely false. What we have done, obviously, is to make arrangements to have logistic hubs in parts of the Middle East that allow us to continue the logistic support for the ongoing mission in Afghanistan. That is the intention of the department, nothing more than that."
33,"I am sure the official record will show the sentiment that was just expressed, Mr. Speaker. \lineBreak This spring has been extraordinary and unprecedented in the Arab world. The shift towards democracy is not an easy one. The people of those countries need support. Last month, the G8 promised $20 billion, but there is nothing from Canada. The Conservatives do not seem to understand the importance of committing to helping these people make the transition. \lineBreak Why has Canada isolated itself from its G8 allies?","Mr. Speaker, at the outset of my time in the House, let me thank the electors of Ottawa West—Nepean and congratulate my friend, the new  \lineBreak I can correct the correct the record and tell the "
34,"Mr. Speaker, millions of Canadians have to get by without the medical care they need because they do not have a family doctor. This means more families are turning to emergency rooms just for primary care. Not only is this hurting the health of Canadians, but it also increases the pressure on emergency rooms and costs millions more for everyone. \lineBreak Will the government finally agree to work with the provinces and the territories to hire more health care professionals?","Mr. Speaker, as the member is well aware, the health accord expires in 2014, not this year, not next year and not the year after.  \lineBreak In the meantime, our government will continue to work with the provinces and the territories on the present accord and priorities identified, such as encouraging the statutory review of the accord in both the Senate and the House, as well as to be supportive of the provinces and territories in the reduction of wait times. \lineBreak We have also gained a lot of ground on establishing electronic health records and a number of other initiatives."
35,"Mr. Speaker, after seven years with that health accord, none of it is translated into doctors for Canadian families. \lineBreak The Conservatives had a second chance to address this in the budget but, incredibly, they let it go. The fact is that Canada needs thousands of new doctors and nurses stat, and the provinces are looking to the federal government to help solve this need. \lineBreak Again, will the government work with us to improve these front-line services so that Canadian families get the health care they need and deserve?","Mr. Speaker, our government supports the efforts of the provinces and territories to effectively manage their health care providers so that there are adequate numbers of medical practitioners available to their residents.  \lineBreak While the supply of physicians and nurses is a provincial and territorial responsibility, our government has increased health care transfers to the provinces and territories by more than 33% since we formed the government.  \lineBreak As well, I recently announced federal funding to support more than 100 family medicine residents to receive training in provinces to provide medical services to remote and rural communities."
36,"Mr. Speaker, with the E. coli outbreak in Europe, in Germany in particular, Canadians have good reason to be concerned about the safety of their food. This crisis emerged despite the fact that Germany has a better food inspection system than Canada. \lineBreak Can the government assure Canadians that our food inspection system will protect them from this type of harm?","Mr. Speaker, food safety is of key importance to this government.  \lineBreak We are taking measures to protect Canadians against what is happening in the European Union. CFIA is implementing enhanced border controls on vegetables from the European Union. If affected products are found, CFIA will facilitate recalls to keep Canadian families safe."
37,"Mr. Speaker, we have heard this story before. The government promises $100 million over five years for food safety, yet the budget delivers $9 million in the first year, $8 million in the second year and, of course, nothing after that. \lineBreak In 2009 the government promised to fix food inspection in this country, yet here we are again with the same old promises. Why should Canadians trust the Conservatives now? \lineBreak Will the minister commit to increasing and accelerating the funding in the first two years to ensure that food safety is safe for all Canadians?","Mr. Speaker, I would like to remind the member that a report on OECD countries recognized that Canada's superior food safety system ranks us the best in the world on food recalls. \lineBreak Speaking of the budget, our recent budget includes an additional $100 million over five years to enhance food safety. Will the member who is so concerned about food safety support this budget?"
38,"Mr. Speaker, today a quarter of a million Canadian seniors live in poverty. Seniors who built this country and cared for us are struggling to afford basics like food, housing and prescription drugs. \lineBreak  Instead of lifting every senior out of poverty, the government chose to give the poorest seniors a mere $50 a month. \lineBreak How can the minister possibly explain why corporate tax giveaways are more important than raising all Canadian seniors out of poverty?","Mr. Speaker, I want to thank my colleague once again for returning to this House. It is going to be a joy to work with her. \lineBreak I want to address the very need of seniors. As we all know, seniors are expecting to have this increase in the guaranteed income supplement. I am hopeful that my colleague across the way is prepared to support the measure in the budget to increase the guaranteed income supplement for our seniors, and if not, why not."
39,"Mr. Speaker, in Canada, almost half the women over 65 who live alone have incomes below the poverty line. This government boasts about helping seniors, but it is giving crumbs to only a third of seniors in need. \lineBreak Why is this government abandoning two-thirds of seniors in need, the majority of whom are women living alone?","Mr. Speaker, we want to help our seniors, who helped build this great and beautiful country. That is why, in yesterday's budget, we included an increase to the GIS in order to help the most vulnerable seniors. I hope the NDP will support this effort to help these people."
40,"Mr. Speaker, last month, the president and CEO of the Canada pension plan explained that public pension funds were ripe for expansion. They will be viable for the next 75 years, and by 2050, they will be worth over one thousand billion dollars. Meanwhile, private pension funds lost billions of dollars during the recession. \lineBreak Why is this government still asking Canadians to put their savings in private banks and mutual funds, rather than improving public pensions?","Mr. Speaker, I wish to welcome my new colleague across the floor. \lineBreak We are working hard to improve retirement security for Canadians. Together with the provinces, we have invested in innovative proposals aimed at improving pensions even further. However, like the provinces, we have some concerns about the NDP's proposals. I would like to quote Raymond Bachand:"
41,"Mr. Speaker, Canadian families have always been told that if they saved a little and let the market work its magic, they would have enough funds when it came time to retire, but Canadian families who lost billions of dollars during the recession see this for just what it is: smoke and mirrors. Now, instead of expanding a healthy CPP, the government is moving full steam ahead with a risky private pooled pension plan. \lineBreak Just whose side is the government on, Canadian families or their friends?","Mr. Speaker, I am happy to stand again on behalf of pensioners.  \lineBreak We have been working very hard to improve Canadians' retirement security. For instance, we reformed the framework governing federally regulated pensions to better protect pensioners. \lineBreak With the provinces, we mentioned the pooled registered pension plan. We are also looking at CPP reforms, but we and many provinces are very concerned about the proposition by the NDP to double the CPP.  \lineBreak I heard Catherine Swift of the CFIB state on CPAC just yesterday that they believe it would be a 60% to 70% increase to all businesses across the way. They are not in support of that."
42,"Mr. Speaker, the people of Moncton are shocked to learn that some very respected members of their community are facing deportation.  \lineBreak The Maeng family have put down firm roots since moving to Canada eight years ago. They have built their own business, and their eldest son is studying to become a dentist. \lineBreak However, despite having disclosed their younger son's health problems from the outset, they are now being told that his autism and epilepsy disqualify them from permanent residency. \lineBreak Will the minister commit to reviewing this troubling decision on humanitarian and compassionate grounds?","Mr. Speaker, first of all I congratulate the member on his re-election and his appointment as the immigration critic for the official opposition. \lineBreak The member knows that the minister cannot comment on particular cases because of the Privacy Act. Having said that, there is a very fair process, including access to applications for permanent residency for humanitarian and compassionate reasons by individuals. Those are not considered by elected officials but by highly trained public servants. \lineBreak I would point out that there is in our law provision for medical inadmissibility for those who the provinces deem would represent an undue burden to our tax-funded public health care system."
43,"Mr. Speaker, yesterday's budget shows no leadership on health care.  \lineBreak A 2004 health accord goal to reduce wait times calls for effective community services, including home care. After five years of Conservative government, there is still no national home care, and wait times for acute hospital beds remain unacceptably high. \lineBreak While it dithers on the 2014 accord, will the government tell us what steps it will take to implement the wait times goal and create a national home care strategy?","Mr. Speaker, in our effort to support the provinces and territories to deliver health care we have increased the transfers by 33% since we formed government. We have also sent additional funding to the provinces and territories to help with a specific wait time guarantee. A number of provinces have made improvements in important wait time areas. Recently I announced over 100 family medicine residencies for rural practice.  \lineBreak As well, our government takes concrete action to support provinces and territories in delivering health care--"
44,The member for Papineau.,"Mr. Speaker, the agreement with the provinces on health will come to an end in barely three years. For quite some time now, the premiers of Quebec and Ontario, among others, have been calling on this government to convene a meeting with all the premiers, but to no avail. In fact, in his six years on the job, the  \lineBreak When will he take his responsibility as Prime Minister seriously and initiate dialogue to plan the future of our health care system?"
45,"Mr. Speaker, as I mentioned earlier, the health accord expires in 2014; not this year, not next year, and not the year after. \lineBreak  In the meantime, our government has been working with the provinces and territories on the present accord. We have encouraged the statutory review of the 2004 accord in both the Senate and the House. As well, we have been supported by the provinces and territories in the reduction of wait times. Also, we have gained a lot of ground in establishing electronic health records. Provinces and territories continue to deliver the--",The hon. member for 
46,"Mr. Speaker, despite the  \lineBreak What is even worse is that nearly 6 out of every 10 unemployed workers who have paid premiums for years are not entitled to receive benefits when they lose their jobs. \lineBreak How can the ","Mr. Speaker, as the "
47,"Mr. Speaker, we are learning today that the former parliamentary secretary to the Minister of Defence saw hope that higher unemployment would help recruiting for the Canadian Forces. It is unbelievable. \lineBreak Would the government tell the House whether it favours higher unemployment for this reason? Does this explain its lack of a proper job creation strategy?","Mr. Speaker, our job creation strategy is far-ranging. \lineBreak It includes helping small businesses by giving them incentives to hire new people. It gives them incentives to invest in new equipment to make them more productive and more competitive on the world stage. \lineBreak We are trying to help people get back to work so that Canada can be as strong as it can possibly be competing on the global stage. We need to support workers. We need to support industry so it can grow."
48,"Mr. Speaker, Canada has been a world leader as we continue along the path to economic recovery. \lineBreak Could the ","Mr. Speaker, I would like to take a moment to thank the member for her hard work on this file. \lineBreak Last year we set out a three-point plan to return to budget balance by winding down the temporary stimulus, putting in place targeted spending restraint measures, and reviewing government administrative and overhead costs. \lineBreak This year we are building on that plan by delivering on the 2010 strategic reviews, closing tax loopholes and launching a one-year government-wide strategic and operating review. \lineBreak We remain on track to balance our budget by 2015-16."
49,"Mr. Speaker, sadly budget 2011 is an abdication of the government's responsibilities to aboriginal peoples.  \lineBreak I ask the ","Mr. Speaker, our government is building on its impressive record in major investments and unprecedented collaboration with aboriginals to increase the educational outcome for first nations children and to address priority areas such as water and waste water infrastructure. Our current budget builds on those investments and demonstrates our strong commitment."
50,"Mr. Speaker, I did not hear an answer to the question of the $127 million being cut in this budget compared to the previous budget. Can the minister answer the question? Common courtesy in this House also means getting answers. It is only natural for the opposition to protest if it does not get an answer. Can he give us an answer regarding the $127 million in cuts to aboriginal housing? ","Mr. Speaker, the Liberals are very good at talking about process and very bad at getting concrete results. \lineBreak  We have invested major dollars during the stimulus spending program. This budget deals with the first nations land management, water, K-12, matrimonial real property and the investment in the major completion of the Dempster Highway. It had good reviews from the national aboriginal leaders. That is good for Canadians."
51,"Mr. Speaker, last week, Quebeckers and Canadians were stunned when Justice James Brunton released about 30 accused people because of the delays expected in their megatrial. The police did their job. The prosecutors did their job. It is time for Parliament to do its job. \lineBreak Would the ","First, Mr. Speaker, I want to congratulate the member on his appointment as justice critic for the NDP.  \lineBreak This is certainly the time and it was certainly the time in the last Parliament when we introduced the fair and efficient criminal trials act that would strengthen case management, reduce duplication and improve criminal procedure. That was a great piece of legislation. We are prepared to re-introduce it. I hope it has the support of the hon. member and his colleagues."
52,"Mr. Speaker, I can assure him that, in fact, it does have the support of this party and I believe of the Liberal Party as well. It is a welcome development that we move on this. This is a problem that we have known about for several years. In the last Parliament, Bill  \lineBreak My question to the minister today is this. Will he pledge to the House that we will have the bill before the House and pass it before we leave in the spring?","That is the easiest pledge I will ever make, Mr. Speaker. We all have an interest in improving the criminal justice system and this, hopefully, portends something new in this Parliament's support for justice legislation. I can assure the hon. member that bill will be tabled forthwith."
53,"Mr. Speaker, I was much relieved to learn yesterday that the  \lineBreak  In light of the new decorum in the House, would the minister tell the House what is the specific cost of closing the base, what will be the cost of opening the base in Kuwait, and will he table those costs in the House?","Mr. Speaker, I appreciate advice from the member opposite in the Liberal Party on how to get along internally within a party. That is something I will keep very much in mind in the future.  \lineBreak However, with respect to the ongoing costs of maintaining a logistic hub in the Middle East, which is very important in supporting our ongoing efforts in Afghanistan and in fact throughout the region, there will be information forthcoming."
54,"Mr. Speaker, let us talk about employment. In 2010, the  \lineBreak Will the ","Mr. Speaker, we certainly want to help the unemployed. That is why yesterday's budget included the initiatives I have already talked about. I can assure hon. members that we are already sending very significant sums to the Government of New Brunswick to help support the unemployed who face constraints specific to that region. I encourage them to take advantage of this."
